x_value,total_1,total_2
701,1612,1368
702,1620,1364
703,1626,1369
704,1627,1371
705,1628,1369
706,1634,1368
707,1634,1368
708,1632,1373
709,1627,1371
710,1627,1374
711,1623,1374
712,1626,1373
713,1628,1375
714,1636,1376
715,1632,1382
716,1640,1385
717,1639,1381
718,1639,1381
719,1635,1384
720,1635,1380
721,1638,1375
722,1642,1374
723,1643,1370
724,1643,1366
725,1640,1371
726,1645,1368
727,1643,1363
728,1641,1363
729,1646,1366
730,1644,1369
731,1649,1368
732,1652,1374
733,1659,1376
734,1662,1375
735,1657,1378
736,1662,1375
737,1656,1378
738,1657,1373
739,1651,1371
740,1653,1376
741,1661,1381
742,1655,1387
743,1661,1386
744,1655,1389
745,1659,1384
746,1659,1380
747,1659,1378
748,1662,1384
749,1669,1383
750,1663,1383
751,1666,1385
752,1667,1381
753,1672,1377
754,1680,1377
755,1683,1375
756,1682,1374
757,1684,1378
758,1685,1379
759,1690,1384
760,1688,1384
761,1690,1389
762,1698,1387
763,1693,1383
764,1701,1378
765,1696,1373
766,1702,1370
767,1704,1372
768,1701,1369
769,1703,1364
770,1697,1366
771,1701,1369
772,1702,1365
773,1709,1368
774,1705,1369
775,1711,1365
776,1719,1367
777,1722,1369
778,1720,1368
779,1716,1371
780,1713,1376
781,1715,1371
782,1709,1376
783,1715,1377
784,1716,1378
785,1724,1374
786,1732,1374
787,1739,1373
788,1736,1371
789,1730,1367
790,1724,1367
791,1726,1372
792,1727,1378
793,1734,1382
794,1736,1383
795,1736,1385
796,1740,1387
797,1744,1393
798,1740,1391
799,1737,1395
800,1741,1393
801,1740,1398
802,1737,1394
803,1731,1396
804,1733,1396
805,1739,1401
806,1742,1396
807,1744,1401
808,1743,1404
809,1743,1409
810,1741,1406
811,1737,1412
812,1741,1418
813,1749,1414
814,1745,1415
815,1752,1411
816,1756,1411
817,1762,1411
818,1759,1412
819,1760,1417
820,1763,1412
821,1769,1414
822,1767,1414
823,1766,1419
824,1766,1425
825,1767,1430
826,1768,1433
827,1769,1432
828,1771,1433
829,1778,1439
830,1777,1439
831,1774,1442
832,1774,1437
833,1768,1435
834,1773,1431
835,1778,1431
836,1777,1436
837,1774,1438
838,1771,1433
839,1772,1436
840,1772,1440
841,1779,1436
842,1784,1436
843,1779,1438
844,1779,1435
845,1779,1436
846,1780,1431
847,1786,1428
848,1787,1425
849,1784,1431
850,1780,1427
851,1780,1432
852,1781,1437
853,1780,1441
854,1781,1440
855,1781,1444
856,1780,1439
857,1775,1444
858,1774,1448
859,1780,1449
860,1788,1455
861,1786,1458
862,1780,1456
863,1779,1456
864,1787,1452
865,1784,1450
866,1789,1450
867,1796,1454
868,1796,1452
869,1801,1454
870,1796,1450
871,1790,1455
872,1793,1454
873,1796,1451
874,1791,1455
875,1787,1450
876,1791,1445
877,1788,1447
878,1790,1447
879,1790,1452
880,1787,1450
881,1789,1453
882,1788,1451
883,1792,1454
884,1788,1451
885,1788,1453
886,1788,1449
887,1794,1447
888,1795,1453
889,1800,1450
890,1794,1445
891,1801,1451
892,1809,1450
893,1814,1455
894,1812,1457
895,1811,1456
896,1819,1451
897,1825,1451
898,1828,1450
899,1824,1450
900,1822,1453
901,1826,1448
902,1827,1448
903,1832,1449
904,1836,1448
905,1833,1447
906,1833,1448
907,1829,1445
908,1832,1451
909,1839,1451
910,1838,1452
911,1846,1456
912,1842,1456
913,1841,1453
914,1835,1454
915,1842,1449
916,1845,1452
917,1843,1455
918,1840,1454
919,1847,1455
920,1853,1456
921,1852,1454
922,1847,1456
923,1841,1461
924,1838,1458
925,1833,1459
926,1834,1465
927,1838,1465
928,1832,1461
929,1833,1464
930,1839,1464
931,1844,1468
932,1843,1472
933,1839,1469
934,1833,1470
935,1832,1476
936,1832,1477
937,1839,1476
938,1840,1473
939,1843,1471
940,1841,1475
941,1837,1472
942,1836,1478
943,1835,1482
944,1835,1478
945,1843,1478
946,1837,1477
947,1838,1479
948,1836,1483
949,1833,1482
950,1827,1485
951,1834,1489
952,1837,1493
953,1839,1494
954,1838,1499
955,1837,1505
956,1832,1504
957,1839,1506
958,1843,1502
959,1851,1501
960,1846,1505
961,1841,1506
962,1845,1511
963,1844,1508
964,1842,1506
965,1847,1502
966,1844,1497
967,1847,1497
968,1844,1502
969,1840,1508
970,1841,1504
971,1845,1501
972,1845,1500
973,1849,1498
974,1845,1502
975,1841,1503
976,1846,1504
977,1846,1505
978,1849,1506
979,1854,1503
980,1858,1509
981,1854,1504
982,1862,1499
983,1856,1498
984,1862,1493
985,1869,1495
986,1863,1499
987,1871,1496
988,1871,1498
989,1871,1502
990,1878,1499
991,1874,1498
992,1872,1493
993,1875,1498
994,1880,1504
995,1879,1508
996,1875,1507
997,1870,1508
998,1873,1513
999,1874,1517
1000,1869,1516
1001,1868,1519
1002,1872,1514
1003,1868,1515
1004,1874,1512
1005,1871,1516
1006,1878,1521
1007,1877,1521
1008,1872,1525
1009,1866,1525
1010,1860,1523
1011,1864,1527
1012,1862,1533
1013,1868,1533
1014,1864,1529
1015,1868,1530
1016,1862,1529
1017,1860,1535
1018,1867,1532
1019,1862,1534
1020,1858,1534
1021,1853,1539
1022,1857,1545
1023,1851,1541
1024,1855,1538
1025,1856,1533
1026,1853,1533
1027,1857,1534
1028,1861,1532
1029,1862,1530
1030,1869,1534
1031,1867,1538
1032,1875,1541
1033,1871,1539
1034,1871,1542
1035,1865,1542
1036,1868,1542
1037,1864,1546
1038,1867,1543
1039,1875,1540
1040,1871,1545
1041,1867,1546
1042,1873,1546
1043,1871,1549
1044,1876,1551
1045,1883,1547
1046,1882,1544
1047,1889,1541
1048,1890,1543
1049,1896,1538
1050,1900,1533
1051,1906,1534
1052,1906,1529
1053,1910,1534
1054,1911,1539
1055,1912,1541
1056,1915,1538
1057,1923,1544
1058,1931,1540
1059,1936,1539
1060,1938,1534
1061,1933,1540
1062,1938,1544
1063,1934,1548
1064,1942,1546
1065,1936,1545
1066,1940,1548
1067,1935,1545
1068,1934,1547
1069,1938,1548
1070,1946,1543
1071,1950,1546
1072,1950,1542
1073,1957,1537
1074,1962,1538
1075,1962,1534
1076,1956,1537
1077,1959,1537
1078,1956,1535
1079,1962,1540
1080,1956,1538
1081,1951,1537
1082,1947,1543
1083,1947,1548
1084,1947,1552
1085,1955,1550
1086,1950,1553
1087,1958,1553
1088,1953,1555
1089,1953,1557
1090,1959,1558
1091,1966,1562
1092,1966,1559
1093,1970,1559
1094,1977,1557
1095,1973,1554
1096,1981,1558
1097,1988,1564
1098,1986,1570
1099,1982,1565
1100,1989,1560
1101,1995,1561
1102,2002,1558
1103,2007,1563
1104,2009,1568
1105,2004,1563
1106,2006,1564
1107,2009,1566
1108,2012,1570
1109,2018,1574
1110,2024,1570
1111,2030,1575
1112,2026,1579
1113,2030,1583
1114,2036,1585
1115,2030,1581
1116,2036,1586
1117,2034,1581
1118,2028,1577
1119,2032,1582
1120,2030,1588
1121,2033,1591
1122,2038,1586
1123,2044,1591
1124,2047,1595
1125,2047,1596
1126,2049,1592
1127,2053,1597
1128,2054,1598
1129,2059,1598
1130,2056,1596
1131,2051,1597
1132,2051,1602
1133,2057,1606
1134,2055,1610
1135,2051,1605
1136,2051,1602
1137,2047,1602
1138,2049,1605
1139,2045,1601
1140,2040,1606
1141,2045,1605
1142,2051,1607
1143,2051,1608
1144,2052,1604
1145,2049,1605
1146,2046,1605
1147,2054,1610
1148,2052,1608
1149,2048,1612
1150,2055,1610
1151,2053,1606
1152,2050,1611
1153,2057,1616
1154,2065,1621
1155,2067,1623
1156,2068,1625
1157,2066,1627
1158,2072,1623
1159,2071,1627
1160,2070,1627
1161,2071,1622
1162,2072,1624
1163,2076,1623
1164,2076,1625
1165,2075,1624
1166,2079,1619
1167,2081,1620
1168,2085,1625
1169,2082,1630
1170,2088,1635
1171,2093,1637
1172,2094,1640
1173,2099,1638
1174,2106,1637
1175,2105,1632
1176,2099,1629
1177,2103,1634
1178,2099,1636
1179,2095,1632
1180,2091,1633
1181,2092,1635
1182,2095,1638
1183,2092,1641
1184,2098,1636
1185,2095,1641
1186,2103,1645
1187,2106,1650
1188,2113,1655
1189,2116,1656
1190,2118,1659
1191,2117,1663
1192,2116,1663
1193,2122,1669
1194,2128,1667
1195,2129,1667
1196,2129,1669
1197,2127,1666
1198,2131,1663
1199,2139,1660
1200,2146,1660
1201,2143,1665
1202,2147,1668
1203,2150,1664
1204,2146,1668
1205,2153,1663
1206,2159,1662
1207,2154,1663
1208,2161,1665
1209,2158,1666
1210,2161,1669
1211,2158,1669
1212,2161,1670
1213,2155,1675
1214,2162,1677
1215,2169,1678
1216,2175,1678
1217,2176,1677
1218,2181,1675
1219,2189,1677
1220,2196,1673
1221,2198,1672
1222,2193,1676
1223,2199,1672
1224,2204,1671
1225,2202,1668
1226,2197,1674
1227,2199,1672
1228,2207,1674
1229,2212,1680
1230,2215,1683
1231,2212,1685
1232,2208,1690
1233,2214,1685
1234,2217,1688
1235,2216,1690
1236,2221,1694
1237,2222,1691
1238,2227,1687
1239,2222,1689
1240,2230,1687
1241,2235,1691
1242,2234,1697
1243,2230,1699
1244,2231,1703
1245,2233,1708
1246,2234,1706
1247,2240,1710
1248,2245,1716
1249,2246,1718
1250,2240,1714
1251,2248,1718
1252,2256,1716
1253,2264,1716
1254,2266,1719
1255,2267,1715
1256,2274,1718
1257,2282,1719
1258,2278,1718
1259,2275,1720
1260,2281,1720
1261,2284,1716
1262,2291,1713
1263,2287,1713
1264,2294,1719
1265,2299,1720
1266,2306,1717
1267,2313,1720
1268,2318,1720
1269,2313,1715
1270,2310,1716
1271,2307,1716
1272,2305,1712
1273,2311,1708
1274,2312,1708
1275,2315,1709
1276,2318,1709
1277,2312,1715
1278,2319,1721
1279,2319,1723
1280,2314,1721
1281,2313,1721
1282,2310,1717
1283,2312,1723
1284,2312,1723
1285,2308,1721
1286,2310,1718
1287,2314,1723
1288,2313,1726
1289,2320,1729
1290,2327,1727
1291,2332,1731
1292,2337,1732
1293,2341,1729
1294,2339,1724
1295,2336,1730
1296,2336,1729
1297,2338,1732
1298,2338,1738
1299,2336,1743
1300,2335,1748
1301,2329,1753
1302,2329,1754
1303,2327,1758
1304,2326,1763
1305,2324,1761
1306,2325,1767
1307,2321,1772
1308,2317,1771
1309,2325,1770
1310,2331,1773
1311,2339,1773
1312,2338,1772
1313,2332,1772
1314,2333,1771
1315,2339,1775
1316,2333,1775
1317,2331,1773
1318,2335,1774
1319,2329,1769
1320,2329,1770
1321,2330,1768
1322,2335,1765
1323,2336,1763
1324,2337,1760
1325,2331,1765
1326,2332,1760
1327,2328,1762
1328,2335,1766
1329,2334,1768
1330,2340,1768
1331,2334,1770
1332,2337,1771
1333,2338,1768
1334,2340,1774
1335,2348,1780
1336,2342,1783
1337,2346,1779
1338,2343,1778
1339,2343,1779
1340,2341,1781
1341,2339,1780
1342,2347,1781
1343,2350,1783
1344,2355,1783
1345,2349,1782
1346,2344,1784
1347,2351,1780
1348,2345,1783
1349,2344,1778
1350,2345,1778
1351,2352,1776
1352,2360,1782
1353,2359,1782
1354,2360,1785
1355,2368,1789
1356,2373,1790
1357,2377,1788
1358,2376,1791
1359,2373,1792
1360,2375,1798
1361,2383,1798
1362,2387,1803
1363,2387,1799
1364,2384,1797
1365,2384,1796
1366,2388,1801
1367,2395,1807
1368,2400,1803
1369,2403,1802
1370,2411,1801
1371,2408,1803
1372,2402,1804
1373,2408,1800
1374,2412,1797
1375,2408,1802
1376,2415,1803
1377,2412,1805
1378,2406,1803
1379,2405,1807
1380,2410,1802
1381,2410,1806
1382,2406,1812
1383,2407,1807
1384,2402,1811
1385,2401,1814
1386,2402,1810
1387,2409,1814
1388,2409,1812
1389,2407,1811
1390,2415,1809
1391,2422,1804
1392,2420,1806
1393,2417,1810
1394,2415,1814
1395,2422,1811
1396,2423,1817
1397,2430,1812
1398,2424,1812
1399,2431,1810
1400,2437,1810
1401,2433,1809
1402,2437,1805
1403,2441,1809
1404,2448,1814
1405,2445,1820
1406,2440,1815
1407,2443,1810
1408,2441,1807
1409,2437,1805
1410,2438,1803
1411,2444,1808
1412,2446,1804
1413,2443,1809
1414,2451,1814
1415,2453,1815
1416,2453,1816
1417,2454,1821
1418,2452,1824
1419,2460,1820
1420,2462,1825
1421,2467,1820
1422,2464,1815
1423,2467,1812
1424,2470,1807
1425,2469,1804
1426,2468,1808
1427,2470,1814
1428,2475,1818
1429,2481,1821
1430,2476,1823
1431,2473,1828
1432,2476,1827
1433,2480,1828
1434,2476,1832
1435,2481,1828
1436,2484,1834
1437,2480,1829
1438,2476,1832
1439,2479,1830
1440,2474,1826
1441,2474,1822
1442,2474,1822
1443,2476,1819
1444,2480,1818
1445,2487,1813
1446,2488,1811
1447,2482,1817
1448,2485,1816
1449,2481,1816
1450,2488,1821
1451,2495,1819
1452,2495,1820
1453,2499,1817
1454,2500,1816
1455,2499,1821
1456,2495,1822
1457,2494,1824
1458,2502,1829
1459,2508,1833
1460,2510,1835
1461,2505,1839
1462,2502,1835
1463,2503,1837
1464,2510,1842
1465,2507,1837
1466,2511,1841
1467,2507,1840
1468,2501,1843
1469,2509,1844
1470,2509,1841
1471,2517,1838
1472,2521,1837
1473,2519,1843
1474,2523,1846
1475,2519,1841
1476,2523,1842
1477,2530,1845
1478,2533,1846
1479,2533,1845
1480,2537,1851
1481,2534,1854
1482,2534,1855
1483,2538,1851
1484,2545,1847
1485,2547,1852
1486,2545,1858
1487,2549,1861
1488,2553,1864
1489,2551,1865
1490,2555,1865
1491,2560,1860
1492,2567,1863
1493,2563,1868
1494,2566,1872
1495,2563,1877
1496,2565,1877
1497,2565,1872
1498,2564,1878
1499,2571,1882
1500,2576,1881
1501,2574,1883
1502,2571,1882
1503,2571,1886
1504,2565,1889
1505,2568,1887
1506,2566,1884
1507,2569,1880
1508,2576,1886
1509,2575,1884
1510,2574,1881
1511,2571,1882
1512,2577,1884
1513,2580,1885
1514,2586,1883
1515,2592,1881
1516,2587,1882
1517,2592,1884
1518,2586,1883
1519,2581,1885
1520,2579,1886
1521,2580,1890
1522,2576,1891
1523,2571,1887
1524,2579,1884
1525,2579,1886
1526,2583,1890
1527,2589,1895
1528,2591,1892
1529,2588,1896
1530,2591,1892
1531,2587,1893
1532,2587,1893
1533,2583,1892
1534,2577,1893
1535,2584,1889
1536,2589,1892
1537,2595,1893
1538,2592,1890
1539,2595,1892
1540,2594,1889
1541,2592,1885
1542,2586,1880
1543,2590,1882
1544,2594,1887
1545,2600,1887
1546,2601,1886
1547,2605,1892
1548,2599,1891
1549,2598,1888
1550,2593,1891
1551,2597,1888
1552,2595,1890
1553,2592,1891
1554,2588,1886
1555,2582,1892
1556,2581,1894
1557,2581,1893
1558,2585,1899
1559,2584,1900
1560,2585,1900
1561,2587,1904
1562,2594,1905
1563,2599,1906
1564,2603,1904
1565,2604,1901
1566,2611,1900
1567,2609,1902
1568,2616,1908
1569,2622,1913
1570,2630,1910
1571,2632,1913
1572,2635,1911
1573,2638,1909
1574,2632,1911
1575,2631,1913
1576,2633,1915
1577,2637,1912
1578,2638,1909
1579,2635,1913
1580,2641,1917
1581,2648,1919
1582,2644,1923
1583,2649,1928
1584,2653,1929
1585,2661,1925
1586,2665,1925
1587,2672,1920
1588,2671,1923
1589,2667,1923
1590,2666,1919
1591,2669,1914
1592,2669,1916
1593,2675,1915
1594,2669,1918
1595,2671,1923
1596,2667,1929
1597,2667,1934
1598,2669,1929
1599,2673,1924
1600,2672,1930
1601,2673,1926
1602,2680,1926
1603,2687,1921
1604,2681,1927
1605,2676,1927
1606,2673,1932
1607,2671,1931
1608,2667,1933
1609,2662,1934
1610,2659,1934
1611,2666,1937
1612,2667,1935
1613,2669,1938
1614,2675,1944
1615,2679,1947
1616,2684,1952
1617,2691,1955
1618,2698,1955
1619,2693,1951
1620,2698,1949
1621,2698,1949
1622,2697,1953
1623,2697,1953
1624,2692,1951
1625,2687,1946
1626,2692,1944
1627,2695,1950
1628,2702,1946
1629,2703,1943
1630,2699,1938
1631,2702,1936
1632,2696,1937
1633,2690,1935
1634,2685,1939
1635,2681,1939
1636,2685,1945
1637,2692,1945
1638,2696,1943
1639,2703,1942
1640,2701,1938
1641,2700,1941
1642,2707,1947
1643,2714,1952
1644,2722,1949
1645,2727,1951
1646,2724,1951
1647,2721,1950
1648,2716,1946
1649,2716,1946
1650,2711,1948
1651,2712,1944
1652,2720,1949
1653,2716,1948
1654,2715,1948
1655,2721,1948
1656,2719,1944
1657,2714,1950
1658,2709,1953
1659,2706,1953
1660,2701,1957
1661,2701,1960
1662,2705,1958
1663,2711,1955
1664,2710,1957
1665,2711,1953
1666,2706,1955
